Sensor,Power_dBm,Time,Battery_%,Voltage_mV
Sensor 1,-20,18:59:12,100,4177
Sensor 1,-20,19:04:14,100,4177
Sensor 1,-20,19:09:16,100,4182
Sensor 1,-20,19:14:18,100,4189
Sensor 1,-20,19:19:20,100,4173
Sensor 1,-20,19:24:22,100,4170
Sensor 1,-20,19:29:24,100,4162
Sensor 1,-20,19:34:26,100,4169
Sensor 1,-20,19:39:28,100,4162
Sensor 1,-20,19:44:30,100,4159
Sensor 1,-20,19:49:32,100,4151
Sensor 1,-20,19:54:34,100,4159
Sensor 1,-20,19:59:36,100,4156
Sensor 1,-20,20:04:38,100,4151
Sensor 1,-20,20:09:40,100,4152
Sensor 1,-20,20:14:42,100,4144
Sensor 1,-20,20:19:44,100,4145
Sensor 1,-20,20:24:46,100,4144
Sensor 1,-20,20:29:48,100,4147
Sensor 1,-20,20:34:50,100,4140
Sensor 1,-20,20:39:52,100,4130
Sensor 1,-20,20:44:54,100,4135
Sensor 1,-20,20:49:56,100,4131
Sensor 1,-20,20:54:58,100,4131
Sensor 1,-20,21:00:00,100,4131
Sensor 1,-20,21:05:02,100,4131
Sensor 1,-20,21:10:04,98,4116
Sensor 1,-20,21:15:06,99,4120
Sensor 1,-20,21:20:08,100,4126
Sensor 1,-20,21:25:10,100,4126
Sensor 1,-20,21:30:12,99,4121
Sensor 1,-20,21:35:14,99,4117
Sensor 1,-20,21:40:16,99,4117
Sensor 1,-20,21:45:18,97,4107
Sensor 1,-20,21:50:20,98,4113
Sensor 1,-20,21:55:22,97,4109
Sensor 1,-20,22:00:24,96,4102
Sensor 1,-20,22:05:26,97,4109
Sensor 1,-20,22:10:28,99,4117
Sensor 1,-20,22:15:30,97,4105
Sensor 1,-20,22:20:32,96,4102
Sensor 1,-20,22:25:34,96,4102
Sensor 1,-20,22:30:36,97,4103
Sensor 1,-20,22:35:38,96,4102
Sensor 1,-20,22:40:40,96,4100
Sensor 1,-20,22:45:42,96,4102
Sensor 1,-20,22:50:44,95,4093
Sensor 1,-20,22:55:46,94,4089
Sensor 1,-20,23:00:48,95,4093
Sensor 1,-20,23:05:50,95,4092
Sensor 1,-20,23:10:52,94,4089
Sensor 1,-20,23:15:54,96,4099
Sensor 1,-20,23:20:56,95,4092
Sensor 1,-20,23:25:58,94,4089
Sensor 1,-20,23:31:00,94,4086
Sensor 1,-20,23:36:02,94,4084
Sensor 1,-20,23:41:04,93,4082
Sensor 1,-20,23:46:06,93,4079
Sensor 1,-20,23:51:08,93,4078
Sensor 1,-20,23:56:10,93,4081
Sensor 1,-20,00:01:12,94,4089
Sensor 1,-20,00:06:14,93,4077
Sensor 1,-20,00:11:16,92,4074
Sensor 1,-20,00:16:18,93,4078
Sensor 1,-20,00:21:20,92,4071
Sensor 1,-20,00:26:22,91,4067
Sensor 1,-20,00:31:24,92,4071
Sensor 1,-20,00:36:26,92,4071
Sensor 1,-20,00:41:28,90,4062
Sensor 1,-20,00:46:30,91,4065
Sensor 1,-20,00:51:32,89,4055
Sensor 1,-20,00:56:34,90,4062
Sensor 1,-20,01:01:36,90,4062
Sensor 1,-20,01:06:38,90,4058
Sensor 1,-20,01:11:40,89,4054
Sensor 1,-20,01:16:42,90,4058
Sensor 1,-20,01:21:44,90,4060
Sensor 1,-20,01:26:46,89,4055
Sensor 1,-20,01:31:48,89,4050
Sensor 1,-20,01:36:50,90,4058
Sensor 1,-20,01:41:52,90,4057
Sensor 1,-20,01:46:54,89,4053
Sensor 1,-20,01:51:56,89,4051
Sensor 1,-20,01:56:58,89,4050
Sensor 1,-20,02:02:00,89,4054
Sensor 1,-20,02:07:02,88,4048
Sensor 1,-20,02:12:04,88,4044
Sensor 1,-20,02:17:06,87,4041
Sensor 1,-20,02:22:08,87,4040
Sensor 1,-20,02:27:10,88,4043
Sensor 1,-20,02:32:12,87,4040
Sensor 1,-20,02:37:14,88,4048
Sensor 1,-20,02:42:16,87,4040
Sensor 1,-20,02:47:18,87,4039
Sensor 1,-20,02:52:20,86,4032
Sensor 1,-20,02:57:22,87,4039
Sensor 1,-20,03:02:24,86,4032
Sensor 1,-20,03:07:26,86,4033
Sensor 1,-20,03:12:28,86,4032
Sensor 1,-20,03:17:30,86,4034
Sensor 1,-20,03:22:32,86,4029
Sensor 1,-20,03:27:34,86,4029
Sensor 1,-20,03:32:36,85,4023
Sensor 1,-20,03:37:38,84,4019
Sensor 1,-20,03:42:40,86,4029
Sensor 1,-20,03:47:42,83,4015
Sensor 1,-20,03:52:44,84,4020
Sensor 1,-20,03:57:46,85,4025
Sensor 1,-20,04:02:48,84,4016
Sensor 1,-20,04:07:50,84,4016
Sensor 1,-20,04:12:52,83,4012
Sensor 1,-20,04:17:54,84,4016
Sensor 1,-20,04:22:56,83,4015
Sensor 1,-20,04:27:58,84,4016
Sensor 1,-20,04:33:00,83,4009
Sensor 1,-20,04:38:02,83,4011
Sensor 1,-20,04:43:04,83,4009
Sensor 1,-20,04:48:06,83,4013
Sensor 1,-20,04:53:08,82,4008
Sensor 1,-20,04:58:10,82,4008
