Sensor,Power_dBm,Time,Battery_%,Voltage_mV
Sensor 1,0,13:12:26,100,4144
Sensor 1,0,13:17:28,100,4144
Sensor 1,0,13:22:30,100,4138
Sensor 1,0,13:27:32,100,4141
Sensor 1,0,13:32:34,100,4137
Sensor 1,0,13:37:36,100,4141
Sensor 1,0,13:42:38,100,4135
Sensor 1,0,13:47:40,100,4133
Sensor 1,0,13:52:42,100,4140
Sensor 1,0,13:57:44,100,4133
Sensor 1,0,14:02:46,100,4127
Sensor 1,0,14:07:48,99,4121
Sensor 1,0,14:12:50,98,4113
Sensor 1,0,14:17:50,99,4121
Sensor 1,0,14:22:52,99,4121
Sensor 1,0,14:27:54,99,4123
Sensor 1,0,14:32:56,98,4112
Sensor 1,0,14:37:58,98,4114
Sensor 1,0,14:43:00,98,4113
Sensor 1,0,14:48:02,98,4114
Sensor 1,0,14:53:04,98,4113
Sensor 1,0,14:58:06,98,4112
Sensor 1,0,15:03:08,96,4100
Sensor 1,0,15:08:10,97,4109
Sensor 1,0,15:13:12,97,4105
Sensor 1,0,15:18:14,97,4106
Sensor 1,0,15:23:16,96,4100
Sensor 1,0,15:28:18,95,4095
Sensor 1,0,15:33:20,95,4096
Sensor 1,0,15:38:22,96,4098
Sensor 1,0,15:43:24,95,4093
Sensor 1,0,15:48:26,96,4098
Sensor 1,0,15:53:28,94,4086
Sensor 1,0,15:58:30,94,4088
Sensor 1,0,16:03:32,94,4088
Sensor 1,0,16:08:34,93,4078
Sensor 1,0,16:13:36,93,4082
Sensor 1,0,16:18:38,92,4074
Sensor 1,0,16:23:40,93,4081
Sensor 1,0,16:28:42,93,4081
Sensor 1,0,16:33:44,92,4072
Sensor 1,0,16:38:46,94,4086
Sensor 1,0,16:43:48,92,4074
Sensor 1,0,16:48:50,92,4070
Sensor 1,0,16:53:52,92,4072
Sensor 1,0,16:58:54,92,4075
Sensor 1,0,17:03:56,92,4074
Sensor 1,0,17:08:58,91,4064
Sensor 1,0,17:14:00,90,4062
Sensor 1,0,17:19:02,92,4070
Sensor 1,0,17:24:04,90,4061
Sensor 1,0,17:29:06,89,4055
Sensor 1,0,17:34:08,90,4058
Sensor 1,0,17:39:10,91,4067
Sensor 1,0,17:44:12,89,4051
Sensor 1,0,17:49:14,89,4055
Sensor 1,0,17:54:16,89,4054
Sensor 1,0,17:59:18,89,4055
Sensor 1,0,18:04:20,90,4057
Sensor 1,0,18:09:22,90,4057
Sensor 1,0,18:14:24,89,4050
Sensor 1,0,18:19:26,89,4053
Sensor 1,0,18:24:28,89,4050
Sensor 1,0,18:29:30,89,4054
Sensor 1,0,18:34:32,88,4043
Sensor 1,0,18:39:34,90,4057
Sensor 1,0,18:44:36,88,4047
Sensor 1,0,18:49:38,88,4044
Sensor 1,0,18:54:40,89,4050
Sensor 1,0,18:59:42,88,4048
Sensor 1,0,19:04:44,87,4036
Sensor 1,0,19:09:46,87,4040
Sensor 1,0,19:14:48,87,4039
Sensor 1,0,19:19:50,85,4027
Sensor 1,0,19:24:52,86,4032
Sensor 1,0,19:29:54,86,4029
Sensor 1,0,19:34:56,87,4039
Sensor 1,0,19:39:58,86,4030
Sensor 1,0,19:45:00,86,4034
Sensor 1,0,19:50:02,85,4026
Sensor 1,0,19:55:04,86,4030
Sensor 1,0,20:00:06,85,4025
Sensor 1,0,20:05:08,85,4023
Sensor 1,0,20:10:10,86,4030
Sensor 1,0,20:15:12,86,4029
Sensor 1,0,20:20:14,84,4019
Sensor 1,0,20:25:16,84,4020
Sensor 1,0,20:30:18,85,4025
Sensor 1,0,20:35:20,85,4025
Sensor 1,0,20:40:22,85,4025
Sensor 1,0,20:45:24,84,4020
Sensor 1,0,20:50:26,84,4018
Sensor 1,0,20:55:28,83,4011
Sensor 1,0,21:00:30,82,4006
Sensor 1,0,21:05:32,83,4013
Sensor 1,0,21:10:34,83,4012
Sensor 1,0,21:15:36,82,4006
Sensor 1,0,21:20:38,83,4009
Sensor 1,0,21:25:40,83,4012
Sensor 1,0,21:30:42,82,4005
Sensor 1,0,21:35:44,83,4009
Sensor 1,0,21:40:46,82,4008
Sensor 1,0,21:45:48,81,4001
Sensor 1,0,21:50:50,82,4005
Sensor 1,0,21:55:52,82,4004
Sensor 1,0,22:00:54,81,3999
Sensor 1,0,22:05:56,80,3994
Sensor 1,0,22:10:58,81,3999
Sensor 1,0,22:16:00,81,3999
Sensor 1,0,22:21:02,81,3998
Sensor 1,0,22:26:04,80,3992
Sensor 1,0,22:31:06,80,3990
Sensor 1,0,22:36:08,80,3990
Sensor 1,0,22:41:10,80,3990
Sensor 1,0,22:46:12,80,3994
Sensor 1,0,22:51:14,79,3987
Sensor 1,0,22:56:16,80,3990
Sensor 1,0,23:01:18,80,3990
Sensor 1,0,23:06:20,79,3988
Sensor 1,0,23:11:22,80,3991
