id,name,attempt,max_elbow_flexion_angle [deg],max_elbow_extension_angle [deg],max_wrist_angle [deg],max_wrist_velocity [m/s],class
1,celia,1,103.66,6.49,176.7,7.04,out
2,celia,10,88.3,0.59,50.57,7.9,out
3,celia,11,83.96,3.6,35.41,7.8,out
4,celia,12,77.1,0.17,49.87,7.9,in
5,celia,13,88.57,0.34,48.37,8.2,out
6,celia,14,88.87,12.15,50.31,7.75,in
7,celia,15,89.14,1.07,46.32,8.34,in
8,celia,16,84.08,0.7,51.21,8.29,out
9,celia,17,81.19,0.85,54.53,8.41,in
10,celia,18,88.43,1.79,43.63,7.76,in
11,celia,19,89.1,28.18,47.88,7.71,in
12,celia,2,102.72,3.04,47.65,6.18,in
13,celia,20,89.05,12.67,50.0,8.14,in
14,celia,21,98.25,2.92,47.21,8.08,out
15,celia,22,94.57,0.4,39.38,7.9,in
16,celia,23,91.7,0.39,58.21,8.62,out
17,celia,24,95.26,30.45,39.22,7.64,in
18,celia,25,92.84,16.22,64.8,8.25,in
19,celia,26,91.5,2.72,40.15,7.91,in
20,celia,27,88.84,5.41,42.02,7.95,in
21,celia,28,90.15,0.31,39.02,8.26,in
22,celia,29,88.37,0.68,56.25,7.73,in
23,celia,3,100.8,19.92,42.9,7.67,in
24,celia,30,95.78,1.78,62.14,7.87,out
25,celia,4,92.58,2.49,43.07,6.93,in
26,celia,5,92.92,2.29,35.73,7.18,in
27,celia,6,94.12,0.82,25.72,8.04,in
28,celia,7,95.7,0.95,45.77,7.85,out
29,celia,8,88.74,4.89,47.0,7.76,in
30,celia,9,88.17,3.24,47.17,9.5,in
31,cris,1,95.89,7.44,148.33,11.6,out
32,cris,10,91.94,8.91,54.62,8.46,in
33,cris,11,92.1,7.9,56.1,9.2,in
34,cris,12,93.69,3.03,47.5,8.76,out
35,cris,13,91.45,4.2,57.29,7.92,in
36,cris,14,89.41,8.52,53.44,9.27,out
37,cris,15,90.21,3.91,56.46,8.05,in
38,cris,16,90.07,8.75,56.43,7.95,in
39,cris,17,88.73,8.95,55.0,9.54,out
40,cris,18,89.9,7.76,57.15,8.07,in
41,cris,19,90.78,1.76,173.21,7.66,in
42,cris,2,90.4,0.37,147.52,7.83,in
43,cris,20,86.55,7.11,54.42,9.74,in
44,cris,21,90.16,3.32,57.88,7.81,in
45,cris,22,88.76,7.07,155.22,10.87,in
46,cris,23,90.45,7.99,176.34,13.89,out
47,cris,24,86.96,0.28,52.64,7.93,in
48,cris,25,90.6,0.31,51.7,7.27,in
49,cris,26,93.03,10.86,47.12,11.87,out
50,cris,27,91.08,0.1,154.41,8.38,out
51,cris,28,92.2,0.21,47.84,8.12,in
52,cris,29,52.71,1.01,48.91,8.08,out
53,cris,3,86.32,9.83,54.02,8.03,in
54,cris,30,91.52,0.23,75.9,7.36,out
